code,name,market
1707,葡萄王,上市
1720,生達,上市
1731,美吾華,上市
1733,五鼎,上市
1734,杏輝,上市
1752,南光,上市
1760,寶齡富錦,上市
1762,中化生,上市
1783,和康生,上市
1786,科妍,上市
1789,神隆,上市
1795,美時,上市
3164,景岳,上市
3705,永信,上市
3716,中化控股,上市
4104,佳醫,上市
4106,雃博,上市
4108,懷特,上市
4119,旭富,上市
4133,亞諾法,上市
4137,麗豐-KY,上市
4142,國光生,上市
4148,全宇生技-KY,上市
4155,訊映,上市
4164,承業醫,上市
4169,泰宗,上市
4178,永笙-KY,上市
4190,佐登-KY,上市
4736,泰博,上市
4737,華廣,上市
4746,台耀,上市
4771,望隼,上市
6431,光麗-KY,上市
6446,藥華藥,上市
6472,保瑞,上市
6491,晶碩,上市
6541,泰福-KY,上市
6550,北極星藥業-KY,上市
6589,台康生技,上市
6598,ABC-KY,上市
6657,華安,上市
6666,羅麗芬-KY,上市
6782,視陽,上市
6794,向榮生技,上市
6796,晉弘,上市
6838,台新藥,上市
6861,睿生光電,上市
6885,全福生技,上市
6918,愛派司,上市
6919,康霈*,上市
6931,青松健康,上市
6934,心誠鎂,上市
6936,永鴻生技,上市
7799,禾榮科,上市
